date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-10-12,336101029,13354419,77367625,171507,6732,39389,129395870,6428293,36234387,64995,3228,18231,319688871,7530656,79033440,163063,3824,40197,76947417,54045466,22843564,38648,27147,11519
2018-10-15,248146256,26815001,46628633,125397,13570,23570,137957497,6259402,34761769,69997,3176,17656,247885524,27082100,48798080,125238,13726,24671,85744485,53685945,23855133,43491,27251,12141
2018-10-16,287964684,19454957,69459780,145235,9805,35016,158474822,6321911,38341636,79873,3190,19335,286320970,19195784,69833161,144380,9694,35198,104250153,53810916,26795084,52512,27154,13536
2018-10-17,185467979,1146071,78290934,92617,571,39035,122766507,6521096,20381823,61610,3272,10258,185952622,3958497,78568634,92782,1990,39185,59106375,57109127,17871363,29659,28655,9015
2018-10-18,150774594,51412,35946866,75945,26,18110,111932424,6512897,21358534,56639,3295,10830,153802746,607167,35725531,77470,307,18002,51810027,57240179,18657323,26213,28959,9479
2018-10-19,197241305,47459,45569384,100259,24,23154,115368751,6556442,21842281,58271,3311,11054,189865714,210011,45486056,96474,107,23125,47631242,57540484,19004223,24055,29058,9636
2018-10-22,186663052,1034423,41556754,94481,523,21042,106832802,6706125,24125122,53776,3375,12165,199048521,13858,38863856,100768,7,19665,51353874,56839978,18600648,25846,28606,9400
2018-10-23,185078840,532916,49303943,94369,272,25176,108223912,6660473,26388189,55629,3423,13584,183923091,2682009,48905283,93744,1378,24983,52677897,57906864,20644347,27074,29760,10649
2018-10-24,254889865,184471,66384368,131475,95,34218,110948084,6746096,21977595,57112,3472,11336,250064866,998069,69148737,128977,515,35636,50629651,58734791,18831205,26059,30229,9734
2018-10-25,248987143,149823,53124177,130541,79,27917,119025948,6501704,22399605,62750,3427,11833,236533500,4652629,55302229,123948,2455,29060,47624161,61772608,21640320,25104,32560,11453
2018-10-26,259860847,346857,57705709,137165,184,30476,115331105,6419629,24767082,61201,3406,13162,258530160,973299,54680278,136408,516,28896,42966137,61955021,20906389,22798,32871,11132
2018-10-29,232225810,100427,40787050,122833,53,21545,111866572,6471270,23958006,59064,3416,12672,228661316,108128,41468664,120940,57,21910,35551124,62297152,20956549,18768,32885,11108
2018-10-30,179100046,1262978,40530807,94150,663,21304,117886916,6521350,22062510,61909,3424,11609,180945767,26652,42164964,95113,14,22161,42997162,61411730,20846115,22577,32244,10991
2018-10-31,170342264,3186370,52251941,88493,1641,27045,117302509,6737480,22386299,60323,3464,11534,176410986,25220,51360873,91615,13,26586,46896597,59625712,20078802,24113,30656,10366
2018-11-01,139086137,3097435,35650499,71151,1582,18235,118487085,7325339,25704756,60540,3742,13155,144007838,1950,34173681,73672,1,17476,52560505,57461241,21688147,26851,29353,11122
2018-11-02,149589156,318717,38201273,76105,162,19433,128705577,7226304,24613652,65202,3660,12494,141151521,1813023,40537075,71817,919,20617,53749804,59286997,22543391,27225,30028,11465
2018-11-05,158336687,15672,41556718,80712,8,21205,119451399,7099654,27528125,60854,3616,14049,168619833,3473257,37363868,85962,1770,19067,55219575,62329744,21311967,28127,31746,10904
2018-11-06,107629606,72300,31015372,54886,37,15822,122659492,6746015,27707691,62764,3451,14205,109217065,988727,31087140,55687,505,15864,60277144,62649081,21736990,30838,32049,11174
2018-11-07,141234957,1207979,41537778,71776,613,21102,131052098,6774736,26833230,66561,3440,13657,133905279,265850,43169460,68044,135,21931,60854094,62153922,22402648,30903,31560,11430
2018-11-08,109582485,861253,32855064,55185,434,16537,137637393,6643771,30598353,69377,3348,15455,108301334,192510,29330990,54514,97,14766,65572491,61775995,22669802,33048,31131,11481
2018-11-09,114822197,29383,36204438,58462,15,18456,129839166,6520806,30274834,66322,3330,15494,121935948,1994633,35600114,62080,1018,18138,65808056,62889209,21931556,33611,32116,11255
2018-11-12,116742400,1962,29278539,59560,1,14933,135320949,6364063,27410869,68975,3243,14004,106746954,404355,33436210,54466,206,17057,61158500,63255660,23054112,31170,32234,11805
2018-11-13,166457035,565703,51792691,86028,294,26787,135164869,6051517,25607092,69506,3111,13204,162006985,2084219,52773036,83690,1079,27309,57105733,63971432,22169163,29363,32887,11460
2018-11-14,132746002,1076878,37308901,67994,551,19109,135513227,6120629,27607279,69389,3133,14177,131129614,25332,36035280,67161,13,18457,55450222,63239539,22894275,28392,32371,11788
2018-11-15,170858218,7544473,46525715,87310,3854,23783,134834227,6101877,27508833,68633,3105,14046,169581550,7217524,46210923,86655,3695,23621,52989777,63237887,22460972,26968,32184,11498
2018-11-16,171147341,13755015,41891716,87104,7020,21331,134816543,6046819,26231350,68931,3091,13447,180119767,13829842,41141174,91657,7068,20952,62241325,63016293,21027617,31811,32218,10815
2018-11-19,168952525,29020057,37120073,86236,14804,18941,158124384,6082089,25562174,80605,3101,13060,165337833,28547056,37416556,84367,14588,19094,81676583,62774491,20892850,41611,32012,10709
2018-11-20,228384076,18374205,52347089,117036,9430,26826,162891554,5933996,26958871,83827,3055,13895,229720498,19266752,52522860,117700,9904,26915,86527015,63005535,22185801,44500,32440,11469
2018-11-21,162332630,456252,56821994,83798,235,29321,127115452,5871821,16790220,65351,3018,8654,157476839,390418,58896670,81289,201,30390,46142520,63054950,17180570,23717,32409,8883
2018-11-22,78470131,163366,18418577,40279,84,9459,122990239,5966339,18075361,63322,3071,9328,80614396,7769,18070386,41379,4,9284,44271153,62911750,18182787,22788,32382,9412
2018-11-23,85556057,394656,26287408,44238,205,13602,121704549,5903975,17106628,63239,3067,8909,86092141,175187,28336637,44517,91,14658,44242716,62108200,19250145,22984,32264,10051
2018-11-26,119626244,1154511,44192763,61332,591,22644,130436899,6000120,14494787,66777,3071,7430,113020437,223123,44271274,57943,114,22670,45187921,62113256,17180715,23129,31791,8831
2018-11-27,101212468,130286,37171792,52100,67,19151,124777197,6057658,19254104,64077,3110,9896,115376088,9726,29645553,59402,5,15277,54008672,61877710,14473455,27729,31768,7469
2018-11-28,130436765,1684036,42068157,66654,854,21469,133937928,6082635,15892197,67882,3082,8065,118683127,76861,45771942,60639,39,23359,50362446,61033580,14820916,25519,30925,7548
2018-11-29,121618961,468879,31520434,61280,236,15886,134323104,6064478,14405597,68015,3070,7305,124151633,247380,33330707,62554,125,16799,53187540,60846271,15349050,26926,30802,7809
2018-11-30,109275662,80804,30612576,55202,41,15472,128655824,5869042,17883648,65298,2978,9087,117886835,1561634,26234953,59551,792,13260,56281912,62003339,14628813,28559,31461,7462
2018-12-03,118258639,3379965,38525675,58829,1669,19139,143506042,5895329,17203702,70926,2913,8515,111375425,165884,41912785,55403,82,20805,62229746,60327454,17540439,30750,29809,8703
2018-12-04,98402028,42164,30880205,48838,21,15337,130974853,5612360,20968797,65244,2795,10458,107142116,2469353,26141040,53180,1230,12986,59069011,62047200,16680669,29418,30900,8346
2018-12-05,130388783,73262,41459766,65654,37,20918,125967693,5462534,19412655,63779,2765,9841,130204452,2507077,42988208,65567,1268,21683,55098839,63418736,16614109,27891,32101,8448
2018-12-06,130350714,243984,44011437,67105,126,22675,117114566,5503368,22414566,60562,2845,11604,139516711,2973590,42814354,71820,1539,22047,56845824,64984234,18641232,29389,33594,9682
2018-12-07,151110324,2178793,28701519,77938,1118,14783,125414990,5576661,22405341,64361,2861,11516,140496632,48784,28898319,72466,25,14888,54010321,63382136,18954336,27712,32517,9771
2018-12-10,142002463,28879,30317355,73435,15,15725,122171103,5404036,21854443,63479,2807,11375,142162369,794891,33323613,73511,413,17280,51786040,63263997,21331975,26903,32861,11129
